ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2015/205/ms006:A725,CH12,Jan Choinski,Germany F10,FU,2015-08-03,QF,Vadim,Alekseenko,6-3 6-1,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/205/ms012:O484,CH12,Jan Choinski,Germany F10,FU,2015-08-03,R16,Adrian,Obert,6-3 6-2,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/205/ms024:WB25,CH12,Jan Choinski,Germany F10,FU,2015-08-03,R32,Louis,Wessels,7-6(5) 6-3,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/6876/ms006:BL05,CH12,Jan Choinski,Belgium F10,FU,2015-08-10,QF,Romain,Barbosa,2-6 6-7(1),ITF main draw,2015,linked,6858247,1439560200.0,"Belgium F10, Singles",ITF Men,Quarterfinals,Romain Barbosa,3.0,2.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/6876/ms013:O482,CH12,Jan Choinski,Belgium F10,FU,2015-08-10,R16,Gonzalo,Oliveira,2-6 6-2 6-2,ITF main draw,2015,linked,6856761,1439452800.0,"Belgium F10, Singles",ITF Men,1/8-finals (R16),Gonçalo Oliveira,1.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/6876/ms027:BP62,CH12,Jan Choinski,Belgium F10,FU,2015-08-10,R32,Dennis,Bogaert,6-3 7-6(5),ITF main draw,2015,linked,6854510,1439301600.0,"Belgium F10, Singles",ITF Men,1/16-finals (R32),Dennis Bogaert,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/1698/ms028:H997,CH12,Jan Choinski,Netherlands F5,FU,2015-08-17,R32,Yannick,Hanfmann,2-6 1-6,ITF main draw,2015,linked,6866150,1439971200.0,"Netherlands F5, Singles",ITF Men,1/16-finals (R32),Yannick Hanfmann,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/6201/ms004:MH16,CH12,Jan Choinski,Netherlands F6,FU,2015-08-24,QF,Yannick,Maden,3-6 2-6,ITF main draw,2015,linked,6874079,1440748800.0,"Netherlands F6, Singles",ITF Men,Quarterfinals,Yannick Maden,3.0,2.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/6201/ms008:CD00,CH12,Jan Choinski,Netherlands F6,FU,2015-08-24,R16,Maxime,Chazal,2-2,ITF main draw,2015,linked,6872588,1440671100.0,"Netherlands F6, Singles",ITF Men,1/8-finals (R16),Maxime Chazal,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2015/6201/ms017:V750,CH12,Jan Choinski,Netherlands F6,FU,2015-08-24,R32,Colin,Van Beem,6-0 6-2,ITF main draw,2015,linked,6870969,1440512700.0,"Netherlands F6, Singles",ITF Men,1/16-finals (R32),C. Van Beem,1.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/812/ms012:H997,CH12,Jan Choinski,France F18,FU,2015-09-14,R16,Yannick,Hanfmann,4-6 6-2 3-6,ITF main draw,2015,linked,6902289,1442413800.0,"France F18, Singles",ITF Men,1/8-finals (R16),Yannick Hanfmann,3.0,0.0,1.0,0.0,2,false,finished,True
