code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_qual_chall_2024.csv,2426,2024-02-12,tournament week,Bengaluru CH,2024-7808,C,R32,S D Prajwal Dev,133794,True,6-3 6-0,True,True,False,True,18.0,True,38,43,,,,,,,,,W09E:atp:2024/7808/ms028:DH23,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2643,2024-02-19,tournament week,Pune CH,2024-7100,C,SF,Duje Ajdukovic,207213,True,7-5 7-6(6),True,True,False,True,18.0,True,72,81,,,,,,,,,W09E:atp:2024/7100/ms003:A0CJ,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2646,2024-02-19,tournament week,Pune CH,2024-7100,C,QF,Sasi Kumar Mukund,124154,True,W/O,True,True,False,False,0.0,False,,,,,,,,,,,W09E:atp:2024/7100/ms006:MP13,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2653,2024-02-19,tournament week,Pune CH,2024-7100,C,R16,Tung Lin Wu,126555,True,6-0 6-7(5) 7-6(4),True,True,False,True,18.0,True,93,98,,,,,,,,,W09E:atp:2024/7100/ms013:W857,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2667,2024-02-19,tournament week,Pune CH,2024-7100,C,R32,Raphael Collignon,209920,True,7-6(1) 6-2,True,True,False,True,18.0,True,60,57,,,,,,,,,W09E:atp:2024/7100/ms027:C0JP,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2861,2024-02-26,tournament week,New Delhi CH,2024-6961,C,R32,Gauthier Onclin,206904,True,6-4 6-0,True,True,False,True,18.0,True,45,57,,,,,,,,,W09E:atp:2024/6961/ms031:O0A2,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,3198,2024-03-11,tournament week,Phoenix CH,2024-9167,C,Q2,Liam Broady,106281,True,6-7(1) 6-2 6-3,True,True,False,True,18.0,True,96,85,,,,,,,,,W09E:atp:2024/9167/qs011:BI23,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,3208,2024-03-11,tournament week,Phoenix CH,2024-9167,C,Q1,Mikhail Kukushkin,105062,True,6-2 2-0 RET,True,True,False,True,18.0,True,24,31,,,,,,,,,W09E:atp:2024/9167/qs023:K926,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,3825,2024-04-08,tournament week,Cuernavaca CH,2024-6963,C,QF,Beibit Zhukayev,202320,True,7-6(3) 6-7(5) 6-4,True,True,False,True,18.0,True,108,129,,,,,,,,,W09E:atp:2024/6963/ms006:Z09Z,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,3832,2024-04-08,tournament week,Cuernavaca CH,2024-6963,C,R16,Antoine Bellier,134472,True,7-6(11) 6-4,True,True,False,True,18.0,True,73,83,,,,,,,,,W09E:atp:2024/6963/ms013:BP41,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,3846,2024-04-08,tournament week,Cuernavaca CH,2024-6963,C,R32,Olukayode Alafia Damina Ayeni,200366,True,6-3 6-1,True,True,False,True,18.0,True,34,45,,,,,,,,,W09E:atp:2024/6963/ms027:A09P,linked,0.0,False,False,,Adam Walton
